run_id,a_mm,b_mm,E1_1e11Pa,E2_1e11Pa,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,f6_Hz,f7_Hz
0,281.24907,25.178623,0.69335524,0.8225149,19.255,39.391,87.252,102.95,138.38,138.65,218.91
1,268.69378,26.478289,0.61545154,0.56150466,20.794,41.635,94.617,109.58,143.93,144.24,226.87
2,277.55717,27.1351,0.67313388,0.69500836,19.499,39.889,88.971,104.54,137.82,138.12,223.65
3,270.64735,27.032397,0.80151684,0.56950053,20.497,41.239,93.515,108.69,142.45,142.75,227.37
4,269.8267,29.782622,0.58996683,0.59492936,20.202,41.078,93.025,108.26,138.72,139.04,229.2
5,266.73316,21.215811,0.80683854,0.80073581,21.922,42.738,97.841,112.8,153.21,153.52,241.71
6,273.95207,26.189372,0.58702917,0.81243838,20.071,40.64,91.239,106.68,141.03,141.35,229.04
7,283.14389,23.777457,0.70002494,0.83241676,19.194,39.198,86.529,102.21,139.08,139.43,216.63
8,280.80216,20.571571,0.66759206,0.63150298,19.948,40.029,88.813,104.03,144.64,144.88,221.07
9,271.68263,24.581301,0.63304046,0.88023782,20.625,41.276,93.235,108.58,144.73,145.02,233.56
10,268.08962,20.368033,0.71881592,0.64017196,21.821,42.538,97.083,111.83,153.35,153.62,233.52
11,283.81402,22.475637,0.54418814,0.55435258,19.224,39.161,86.228,101.52,140.03,140.28,215.34
12,276.6554,24.336835,0.54177931,0.73435069,19.922,40.301,89.965,105.31,141.7,141.97,225.29
13,268.41086,23.49432,0.65879001,0.80564622,21.267,42.056,95.755,110.86,148.47,148.76,238.63
14,280.46722,25.896053,0.87936516,0.71679701,19.317,39.505,87.789,103.48,138.17,138.45,220.42
15,285.72812,25.025182,0.79629875,0.64598078,18.744,38.628,84.89,100.62,136.15,136.42,212.92
16,285.06594,23.076014,0.5399231,0.89427442,18.986,38.897,85.377,101.03,138.51,138.8,213.5
17,269.7727,26.689994,0.53235688,0.78330708,20.572,41.383,93.707,108.96,142.83,143.13,235.1
18,279.87686,25.565723,0.83639908,0.52489746,19.431,39.637,88.176,103.57,138.85,139.16,219.73
19,271.01077,22.091869,0.70771797,0.75878584,21.112,41.731,94.529,109.64,148.82,149.09,235.4
20,278.1916,28.374707,0.89182517,0.61575017,19.316,39.686,88.579,104.21,136.27,136.58,223.03
21,284.92302,25.305793,0.87642429,0.82195119,18.819,38.755,85.326,101.2,136.4,136.68,214.21
