Row,f1_Hz,f2_Hz,f3_Hz,f4_Hz,f5_Hz,f6_Hz,f7_Hz,f8_Hz,f9_Hz,f10_Hz
1,19.609375,39.765625,88.671875,103.125,141.171875,224.375,224.375,278.125,342.34375,439.375
2,19.6875,40,89.375,103.90625,141.25,226.171875,226.171875,279.765625,343.203125,443.359375
3,19.140625,38.984375,86.171875,101.015625,138.828125,218.59375,218.59375,276.25,336.5625,427.65625
4,20.234375,40.546875,91.171875,105.46875,143.828125,229.921875,229.921875,281.40625,349.6875,424.6875
5,19.53125,39.765625,88.828125,103.59375,138.59375,225.078125,225.078125,279.53125,337.96875,441.40625
6,20.234375,40.46875,90.859375,105.234375,144.296875,228.90625,228.90625,281.40625,351.09375,423.828125
7,20.3125,40.78125,92.03125,106.5625,142.8125,220.703125,232.890625,283.59375,346.25,434.765625
8,19.921875,40.3125,90.390625,105,141.875,228.828125,228.828125,281.40625,343.828125,427.421875
9,19.921875,40.3125,90.703125,105.234375,140.46875,218.125,229.84375,280.546875,340.9375,426.09375
10,20.390625,40.78125,92.03125,106.328125,143.984375,219.921875,232.578125,281.953125,350,429.0625
11,20,40.078125,90.46875,104.765625,140.546875,228.90625,228.90625,279.53125,341.796875,422.5
12,19.609375,39.6875,89.453125,103.90625,138.59375,227.109375,227.109375,279.765625,337.421875,422.265625
13,18.828125,38.203125,84.53125,99.0625,138.046875,208.828125,215.390625,272.265625,335.703125,418.59375
14,18.59375,38.203125,84.53125,99.375,135.46875,216.484375,216.484375,273.984375,329.6875,422.5
15,20.234375,40.625,91.875,106.171875,143.828125,219.921875,232.1875,281.40625,350.625,426.796875
16,20.078125,40.390625,91.09375,105.390625,141.640625,219.296875,230.46875,281.953125,344.53125,430.078125
17,19.84375,40.234375,90.234375,104.765625,141.171875,228.59375,228.59375,280.390625,343.828125,425.703125
18,19.453125,39.53125,88.125,102.734375,139.609375,223.359375,223.359375,277.34375,340.625,415.3125
19,20.078125,40.546875,91.875,106.09375,140,220.234375,232.578125,282.8125,340.9375,429.6875
20,20.859375,41.640625,95.15625,109.296875,144.296875,224.84375,240.625,287.03125,352.421875,435.625
21,19.921875,40.15625,90.234375,104.609375,140.9375,228.125,228.125,279.765625,342.65625,420.78125
22,19.53125,39.6875,88.59375,103.28125,139.0625,224.140625,224.140625,278.125,338.984375,439.453125
23,20.9375,41.71875,95.15625,109.0625,145.078125,224.375,240.234375,286.875,353.90625,433.203125
24,19.6875,40,89.21875,103.90625,140.46875,225.78125,225.78125,279.53125,341.953125,418.828125
25,19.453125,39.453125,87.8125,102.421875,139.609375,222.03125,222.03125,277.5,338.828125,413.4375
26,19.609375,39.921875,89.53125,103.984375,138.28125,226.796875,226.796875,280.546875,337.1875,419.375
27,20.15625,40.703125,92.65625,106.796875,137.8125,222.03125,235.078125,284.609375,337.265625,431.5625
28,19.6875,39.921875,89.53125,103.984375,138.984375,227.109375,227.109375,279.53125,339.140625,444.765625
29,19.921875,39.921875,89.375,103.671875,143.125,225.46875,225.46875,279.53125,346.015625,418.4375
30,20.078125,40.15625,89.765625,104.296875,143.984375,226.171875,226.171875,279.765625,349.84375,442.8125
