run_id,a,b,E1_1e11Pa,E2_1e11Pa,E1_MPa,E2_MPa,obs_row
0,302.75,25.0636,0.89166539,0.67470382,89166.539,67470.382,1
1,301.55,25.504,0.76965752,0.6436639,76965.752,64366.39,2
2,308.01,24.0739,0.61599778,0.52835262,61599.778,52835.262,3
3,299.5,23.5951,0.59326313,0.72905029,59326.313,72905.029,4
4,302.4,25.6718,0.64937241,0.65376087,64937.241,65376.087,5
5,300.3,22.5485,0.5092929,0.60295433,50929.29,60295.433,6
6,296.75,26.0087,0.53660174,0.58739898,53660.174,58739.898,7
7,300,25.4046,0.85327269,0.66595337,85327.269,66595.337,8
8,298,27.0311,0.78006,0.86276451,78006,86276.451,9
9,296.95,24.6177,0.86503761,0.8201472,86503.761,82014.72,10
10,297.9,25.8454,0.75046255,0.89786384,75046.255,89786.384,11
11,299.3,26.9808,0.67849947,0.71274744,67849.947,71274.744,12
12,308.6,22.8814,0.69952426,0.83980148,69952.426,83980.148,13
13,307.75,26.5363,0.84045059,0.79443776,84045.059,79443.776,14
14,297.5,25.6494,0.66494365,0.6131451,66494.365,61314.51,15
15,297.6,24.9299,0.88004169,0.52336647,88004.169,52336.647,16
16,300,26.3441,0.76650941,0.69743464,76650.941,69743.464,17
17,303.75,24.6598,0.51743957,0.55065858,51743.957,55065.858,18
18,296.1,27.6121,0.62840618,0.57995021,62840.618,57995.021,19
19,291.9,26.8497,0.54226603,0.85794052,54226.603,85794.052,20
20,299.7,25.1586,0.60309868,0.8749289,60309.868,87492.89,21
21,303.5,25.398,0.71986946,0.55537133,71986.946,55537.133,22
22,292,25.9946,0.57147044,0.62344305,57147.044,62344.305,23
23,302.6,24.984,0.81878006,0.81278475,81878.006,81278.475,24
24,304.2,24.3809,0.63989637,0.78171547,63989.637,78171.547,25
25,300.7,26.8959,0.70851648,0.50535755,70851.648,50535.755,26
26,293.5,29.5839,0.56587664,0.77483158,56587.664,77483.158,27
27,300.05,26.7256,0.73569285,0.724664,73569.285,72466.4,28
28,301.9,22.9351,0.82244883,0.76160738,82244.883,76160.738,29
29,302.7,21.9861,0.79361669,0.74546678,79361.669,74546.678,30
