obs_row,status,obs_f1,fe_f1,err_f1,rel_err_f1,obs_f2,fe_f2,err_f2,rel_err_f2,obs_f3,fe_f3,err_f3,rel_err_f3,obs_f4,fe_f4,err_f4,rel_err_f4,obs_f5,fe_f5,err_f5,rel_err_f5,obs_f6,fe_f6,err_f6,rel_err_f6,obs_f7,fe_f7,err_f7,rel_err_f7
1,ok,19.609375,25.677,6.067625,0.3094247,39.765625,52.332,12.566375,0.316011,88.671875,98.715,10.043125,0.11326167,103.125,135.47,32.345,0.31364848,141.17188,156.87,15.698125,0.11119867,224.375,213,-11.375,-0.050696379,224.375,236.27,11.895,0.053013928
2,ok,19.6875,25.521,5.8335,0.29630476,40,52.662,12.662,0.31655,89.375,98.46,9.085,0.10165035,103.90625,133.37,29.46375,0.2835609,141.25,158.06,16.81,0.11900885,226.17188,211.91,-14.261875,-0.063057686,226.17188,236.17,9.998125,0.044205872
3,ok,19.140625,24.243,5.102375,0.26657306,38.984375,50.696,11.711625,0.30041844,86.171875,93.267,7.095125,0.082336899,101.01562,128.6,27.584375,0.27307038,138.82812,151.92,13.091875,0.094302757,218.59375,206.42,-12.17375,-0.055691208,218.59375,225.77,7.17625,0.032829164
4,ok,20.234375,25.605,5.370625,0.26542085,40.546875,53.629,13.082125,0.322642,91.171875,98.393,7.221125,0.079203428,105.46875,132.16,26.69125,0.25307259,143.82812,160.16,16.331875,0.11355133,229.92188,213.65,-16.271875,-0.070771322,229.92188,236.18,6.258125,0.027218485
5,ok,19.53125,25.026,5.49475,0.2813312,39.765625,52.358,12.592375,0.31666483,88.828125,96.885,8.056875,0.090701847,103.59375,129.89,26.29625,0.25384012,138.59375,157.15,18.55625,0.13388952,225.07812,209.83,-15.248125,-0.067745922,225.07812,232.58,7.501875,0.033330094
6,ok,20.234375,25.235,5.000625,0.24713514,40.46875,53.472,13.00325,0.32131583,90.859375,96.747,5.887625,0.064799312,105.23438,130.87,25.635625,0.24360505,144.29688,159.32,15.023125,0.10411262,228.90625,213.31,-15.59625,-0.068133788,228.90625,232.8,3.89375,0.017010239
7,ok,20.3125,25.371,5.0585,0.24903385,40.78125,54.154,13.37275,0.32791418,92.03125,98.611,6.57975,0.071494737,106.5625,130.13,23.5675,0.22116129,142.8125,161.97,19.1575,0.13414442,220.70312,212.88,-7.823125,-0.035446372,232.89062,231.45,-1.440625,-0.0061858437
8,ok,19.921875,25.982,6.060125,0.30419451,40.3125,53.1,12.7875,0.3172093,90.390625,100.12,9.729375,0.10763699,105,135.75,30.75,0.29285714,141.875,159.51,17.635,0.12429956,228.82812,214.28,-14.548125,-0.063576647,228.82812,237.95,9.121875,0.039863435
9,ok,19.921875,25.877,5.955125,0.29892392,40.3125,53.627,13.3145,0.33028217,90.703125,100.7,9.996875,0.11021533,105.23438,133.87,28.635625,0.27211284,140.46875,161.24,20.77125,0.14787097,218.125,213.08,-5.045,-0.02312894,229.84375,240.41,10.56625,0.045971448
10,ok,20.390625,26.674,6.283375,0.30815019,40.78125,54.253,13.47175,0.33034176,92.03125,102.41,10.37875,0.11277419,106.32812,139.1,32.771875,0.30821455,143.98438,163.3,19.315625,0.13415084,219.92188,218.32,-1.601875,-0.0072838366,232.57812,245.39,12.811875,0.055086329
