obs_id,a,b,E1,E2
0,303.773010,23.447372,0.533365,0.537127
0,304.540680,23.125443,0.665689,0.562960
0,305.176971,22.631676,0.780096,0.702403
0,304.690308,23.055628,0.642523,0.539750
0,304.007385,23.463488,0.644143,0.564007
0,304.410309,23.180069,0.654436,0.539024
0,304.195709,23.275791,0.585375,0.624550
0,303.657684,23.755810,0.536183,0.495121
0,305.037354,22.648821,0.703873,0.557385
0,304.085602,23.341299,0.672028,0.600621
0,303.882446,23.448406,0.515865,0.557412
0,303.566193,23.875221,0.521077,0.538311
0,303.470032,23.752377,0.566448,0.500180
0,303.988556,23.527821,0.548714,0.754760
0,304.446869,23.071571,0.617065,0.672341
0,303.833252,23.320610,0.547986,0.538081
0,304.464325,23.602465,0.766784,0.531271
0,304.180267,23.414883,0.641800,0.531480
0,304.041565,23.364103,0.538538,0.610575
0,303.986359,23.373606,0.529328,0.576422
0,304.394592,23.160553,0.705286,0.522179
0,304.541992,23.270956,0.656747,0.527805
0,303.999451,23.818502,0.663263,0.526991
0,304.033356,23.912968,0.704923,0.516688
0,303.453186,23.523190,0.517431,0.499522
0,304.035614,23.080883,0.501041,0.663353
0,304.641327,23.004734,0.634497,0.590864
0,303.705322,23.620358,0.576777,0.566370
0,303.597198,23.934294,0.556575,0.518384
0,304.887054,23.042004,0.794662,0.678168
0,304.078979,23.372843,0.568414,0.539150
0,304.315979,23.141245,0.606602,0.514122
0,304.253510,23.178505,0.633907,0.514568
0,304.769012,23.356152,0.704730,0.825846
0,304.638611,23.436874,0.830993,0.534921
0,303.679657,23.437035,0.563658,0.519996
0,304.503479,23.646942,0.727707,0.548267
0,304.772491,23.121706,0.722021,0.556240
0,304.906311,23.342823,0.754890,0.593765
0,304.236206,23.562901,0.785798,0.505849
0,304.098480,23.486761,0.597864,0.535364
0,304.044098,23.557919,0.722218,0.491026
0,304.690002,23.074215,0.682900,0.799650
0,304.301178,23.336615,0.664661,0.546646
0,304.064056,23.054394,0.529762,0.576491
0,304.218079,23.473656,0.667144,0.528619
0,304.580048,23.685410,0.819316,0.543652
0,304.348267,23.370094,0.603417,0.548035
0,305.343414,22.952253,0.822624,0.543159
0,304.083191,23.216068,0.511158,0.533205
0,304.322388,23.252132,0.606578,0.544876
0,304.208801,22.993008,0.514734,0.721977
0,304.554443,23.306252,0.720839,0.498457
0,303.721313,23.084042,0.557995,0.531680
0,304.494751,23.861160,0.790467,0.674377
0,304.635529,23.285057,0.860241,0.668320
0,304.360565,23.057249,0.583793,0.583274
0,303.983063,23.656826,0.647293,0.577367
0,303.794952,23.423985,0.520322,0.512038
0,303.913910,23.356487,0.563284,0.631560
0,304.299103,23.265495,0.621559,0.493811
0,304.272400,23.450214,0.640030,0.526415
0,304.150757,23.644020,0.621287,0.567302
0,303.893158,23.696354,0.630375,0.563256
0,304.316315,23.857958,0.858894,0.555757
0,304.377594,22.881145,0.517788,0.770188
0,303.797668,23.466879,0.523278,0.534770
0,304.080017,23.151814,0.542389,0.612212
0,303.272827,23.578728,0.540253,0.501720
0,304.624969,23.183683,0.645245,0.514909
0,303.463715,23.804832,0.535924,0.621958
0,304.911469,23.382879,0.726678,0.605824
0,303.696228,23.571268,0.555861,0.606431
0,303.990234,23.381180,0.600584,0.538974
0,304.228943,23.161806,0.543746,0.666679
0,304.205872,23.673618,0.697327,0.543023
0,304.488098,23.052650,0.615200,0.574921
0,303.976562,23.327208,0.592072,0.647297
0,303.612274,23.888441,0.520459,0.558785
0,304.593750,23.594753,0.854547,0.562339
0,304.276001,23.335918,0.606107,0.563006
0,303.814972,23.426655,0.625765,0.667611
0,303.723236,23.908184,0.601031,0.480280
0,304.894775,23.028992,0.736446,0.716342
0,304.227539,23.261473,0.535582,0.549648
0,304.433563,22.979294,0.592556,0.491993
0,304.298584,23.381128,0.891210,0.611287
0,304.280304,23.468220,0.704414,0.556104
0,304.073212,23.728292,0.607797,0.615414
0,303.914612,23.510452,0.565385,0.520015
0,304.767242,23.150002,0.865488,0.553082
0,304.023132,23.395502,0.556206,0.534811
0,304.008575,23.405819,0.543702,0.622098
0,304.210419,23.342419,0.738224,0.509204
0,303.625671,23.817642,0.530755,0.552036
0,304.195404,23.319427,0.580726,0.576355
0,304.774506,22.911289,0.661051,0.523754
0,304.403992,23.698130,0.860172,0.560680
