obs_id,a,b,E1,E2
0,304.779022,23.273779,0.683194,0.744577
0,305.218201,23.343016,0.819543,0.609707
0,304.992249,23.300449,0.754659,0.728777
0,305.283752,23.331015,0.830925,0.597722
0,304.350677,23.544140,0.688300,0.549723
0,304.734375,23.444862,0.746430,0.574300
0,304.484100,23.121004,0.531501,0.801518
0,305.182037,23.313202,0.800372,0.678135
0,304.116394,23.351662,0.532483,0.687913
0,304.214233,23.508324,0.615031,0.544513
0,304.950439,23.282495,0.747282,0.747861
0,305.211761,22.872334,0.591278,0.850327
0,305.265472,23.295284,0.851824,0.785991
0,304.309814,23.501749,0.653262,0.547644
0,304.380524,23.175058,0.506127,0.759316
0,304.299042,23.388243,0.594885,0.620067
0,304.511322,23.204306,0.581992,0.772264
0,304.512390,23.172949,0.554360,0.790509
0,304.807678,23.259108,0.684977,0.761593
0,304.320953,23.402897,0.606900,0.631259
0,304.414246,23.411604,0.653060,0.615207
0,304.189484,23.502996,0.587315,0.530402
0,304.662231,23.517164,0.753385,0.562976
0,304.423370,23.144531,0.497562,0.773546
0,305.122131,23.291723,0.801558,0.674308
0,304.514404,23.444870,0.689200,0.576527
0,305.115051,23.104532,0.709581,0.827613
0,304.441925,23.211782,0.502437,0.753279
0,304.300049,23.557741,0.673870,0.554825
0,305.223297,23.286503,0.829357,0.705128
0,305.198120,23.315334,0.845794,0.587877
0,305.021576,23.261763,0.751074,0.764565
0,304.414612,23.220819,0.549806,0.780048
0,304.819183,23.268831,0.687948,0.743071
0,305.228333,23.283600,0.858822,0.797626
0,304.537628,23.145592,0.511774,0.779057
0,304.430267,23.473959,0.675777,0.559884
0,304.397217,23.498507,0.663599,0.551441
0,304.683411,23.401999,0.709566,0.615531
0,304.514160,23.300154,0.607696,0.700305
0,305.392212,23.250479,0.842042,0.693958
0,305.250153,23.179039,0.816842,0.812226
0,304.955841,23.464556,0.842822,0.572588
0,305.360352,23.147142,0.780073,0.819145
0,304.939331,23.341719,0.746087,0.667117
0,304.476562,23.159250,0.496001,0.748593
0,304.397522,23.573858,0.692745,0.571062
0,305.075439,23.297098,0.779620,0.721456
0,304.836945,23.488306,0.815064,0.558387
0,304.675781,23.008474,0.523491,0.834530
