obs_id,a,b,E1,E2
0,303.917206,23.537621,0.644552,0.508820
0,304.201538,23.109024,0.598041,0.545998
0,304.208649,22.722336,0.517980,0.560931
0,304.626251,23.039766,0.671420,0.534755
0,303.733856,23.453953,0.592824,0.549384
0,304.278351,23.166418,0.651706,0.543586
0,303.771820,23.402260,0.552107,0.518249
0,304.247101,23.909149,0.866379,0.499174
0,304.638916,22.643829,0.617715,0.532239
0,303.617035,23.354744,0.561664,0.557954
0,303.888672,23.566280,0.594136,0.505119
0,303.708191,23.958931,0.633755,0.506518
0,303.936859,23.865351,0.836655,0.508355
0,303.409149,23.723101,0.498887,0.551732
0,303.776764,23.243822,0.525987,0.520270
0,303.933075,23.408255,0.646359,0.511149
0,304.212311,23.583263,0.687272,0.609889
0,304.156586,23.422222,0.680164,0.541438
0,303.783142,23.516224,0.560204,0.509226
0,303.886902,23.497984,0.583089,0.507927
0,304.333984,23.144535,0.717377,0.565247
0,304.562103,23.270708,0.716519,0.542109
0,303.968323,23.851109,0.710522,0.546442
0,304.002625,23.985142,0.770678,0.556256
0,303.927887,23.660345,0.769038,0.496805
0,303.515442,23.452555,0.513847,0.494611
0,304.213043,23.066427,0.576358,0.524114
0,303.587616,23.663542,0.597798,0.525092
0,303.921967,24.018518,0.742024,0.510869
0,304.067200,23.017141,0.531291,0.630999
0,304.195465,23.428030,0.667294,0.518534
0,304.576233,23.192949,0.777212,0.522574
0,304.419067,23.220922,0.765699,0.531318
0,304.065094,23.289923,0.504298,0.777672
0,304.375549,23.358500,0.683512,0.681737
0,303.946808,23.510996,0.717606,0.513244
0,304.157837,23.602325,0.633295,0.593200
0,304.411377,23.039120,0.611471,0.583857
0,304.345856,23.236214,0.572340,0.631827
0,304.190247,23.648499,0.826400,0.605150
0,304.180115,23.520161,0.681122,0.527615
0,304.149109,23.688843,0.884350,0.581914
0,304.017944,23.056818,0.509176,0.682778
0,304.086456,23.310837,0.626403,0.554414
0,303.794891,23.263773,0.554795,0.501055
0,304.163116,23.477190,0.691454,0.550966
0,304.200348,23.624729,0.654896,0.673582
0,304.326294,23.385895,0.651687,0.529433
0,305.066010,22.795246,0.676214,0.666947
0,304.214722,23.331800,0.620103,0.501399
0,304.283173,23.272095,0.648673,0.528269
0,303.633728,23.318594,0.503301,0.504781
0,304.662811,23.380709,0.863726,0.574947
0,303.817871,23.212887,0.651978,0.507554
0,303.603180,23.857086,0.530424,0.687385
0,303.938385,23.137276,0.527250,0.783418
0,304.076904,23.170519,0.583058,0.513657
0,303.628235,23.647146,0.575814,0.555408
0,304.148682,23.534216,0.702252,0.501922
0,303.514526,23.520420,0.546964,0.513496
0,304.657654,23.368078,0.879669,0.531610
0,304.332031,23.473068,0.717147,0.537728
0,303.907898,23.650866,0.598819,0.539979
0,303.648346,23.691839,0.594743,0.546352
0,303.877197,23.765347,0.620432,0.756153
0,303.821869,23.136374,0.492700,0.521584
0,303.961548,23.563910,0.640175,0.506253
0,303.715485,23.356724,0.545731,0.504991
0,303.770996,23.695866,0.801878,0.499748
0,304.830780,23.209387,0.799661,0.535225
0,303.188660,23.936718,0.552661,0.511041
0,304.316010,23.305897,0.563962,0.603091
0,303.434174,23.684698,0.562798,0.516145
0,303.990662,23.410154,0.652642,0.528349
0,303.746368,23.392141,0.528597,0.507353
0,303.949982,23.647602,0.638159,0.575031
0,304.188080,23.112436,0.592973,0.522108
0,303.463959,23.482586,0.538063,0.519719
0,303.624969,23.982321,0.603224,0.507324
0,304.149750,23.447882,0.605215,0.756776
0,304.103485,23.358112,0.608243,0.530134
0,303.241241,23.553370,0.531183,0.533840
0,304.189453,24.078541,0.899551,0.555893
0,304.039124,23.066725,0.517974,0.596983
0,304.326935,23.344114,0.635159,0.509127
0,304.872864,23.072712,0.886024,0.520155
0,303.905487,23.136871,0.554359,0.876533
0,303.950195,23.412344,0.606745,0.587113
0,303.627777,23.788630,0.553522,0.533717
0,304.222534,23.587667,0.739084,0.514252
0,304.495300,22.924187,0.628699,0.773142
0,304.205872,23.462881,0.678522,0.514728
0,303.704315,23.561560,0.555077,0.510841
0,304.223022,23.391680,0.800844,0.578275
0,303.694824,23.899145,0.623250,0.510433
0,304.011047,23.382759,0.593963,0.521269
0,304.826996,22.894449,0.735163,0.538270
0,303.974609,23.565870,0.607240,0.767556
0,304.416504,23.536074,0.816504,0.609228
0,304.158508,23.740711,0.716067,0.538080
0,303.557922,23.435137,0.524718,0.572997
0,304.286133,23.535002,0.697342,0.515014
0,304.319031,23.498819,0.847762,0.517208
0,304.123474,23.213688,0.565878,0.519542
0,304.690887,23.145958,0.890419,0.757504
0,303.769684,23.362701,0.561180,0.515314
0,303.928864,23.415518,0.613102,0.499408
0,303.773254,23.468231,0.574462,0.500713
0,304.007568,23.519428,0.617233,0.523930
0,304.691956,22.974152,0.777440,0.524399
0,304.220978,23.375074,0.668435,0.510648
0,304.277710,23.039606,0.721129,0.507005
0,304.313934,23.124271,0.649976,0.591850
0,303.592896,23.463768,0.568048,0.523345
0,303.394257,23.404921,0.556163,0.496898
0,304.617645,22.770264,0.519521,0.649828
0,304.396729,23.483913,0.722204,0.532708
0,304.077271,23.274843,0.614219,0.512360
0,304.085236,23.455046,0.675694,0.514407
0,304.345551,23.599949,0.798391,0.530460
0,303.983276,23.417315,0.629291,0.530105
0,304.451019,23.325716,0.644177,0.532424
0,304.822021,23.597601,0.836080,0.540230
0,304.105408,23.624029,0.654543,0.526514
0,303.827667,23.417076,0.507664,0.541751
0,303.965973,23.355564,0.578150,0.506519
0,304.215790,23.347872,0.576890,0.499829
0,303.491516,23.647804,0.555503,0.504750
0,304.938263,22.945045,0.808107,0.548717
0,303.825226,23.385330,0.594314,0.531653
