obs_id,a,b,E1,E2
0,303.774963,23.514574,0.612707,0.545387
0,303.809021,23.702919,0.588164,0.551511
0,303.688385,23.794313,0.605254,0.594762
0,303.973480,23.192957,0.531069,0.693618
0,304.441467,23.531765,0.813169,0.544246
0,303.966522,23.701675,0.774694,0.499150
0,304.747223,23.332275,0.861424,0.525785
0,304.614990,23.522406,0.825807,0.534056
0,303.750061,23.058510,0.493731,0.531805
0,304.318237,23.646755,0.857152,0.616250
0,304.646729,23.142666,0.698693,0.526363
0,303.976349,23.125084,0.527092,0.534199
0,303.877106,23.544739,0.666181,0.569516
0,304.008820,23.243479,0.568619,0.702059
0,304.379974,23.670429,0.795145,0.568292
0,304.137238,24.336096,0.838812,0.552465
0,304.624207,23.163408,0.787844,0.527810
0,304.299011,23.137939,0.585472,0.523379
0,304.105927,22.840042,0.495806,0.550459
0,303.960297,23.211308,0.521579,0.657301
0,303.525665,23.763996,0.543941,0.549410
0,304.080414,23.234116,0.604341,0.566034
0,303.533264,23.616533,0.533699,0.677804
0,304.096802,23.196541,0.543571,0.565922
0,304.444733,23.449783,0.753974,0.648344
0,304.541565,23.528339,0.730316,0.534320
0,304.186737,23.309038,0.642212,0.521359
0,304.135071,23.863253,0.778402,0.555902
0,304.482330,23.314291,0.713167,0.585830
0,304.707764,22.660759,0.563022,0.716316
0,304.606445,23.060846,0.719304,0.561115
0,304.471832,23.308441,0.685301,0.617391
0,304.406860,23.576437,0.844625,0.801267
0,303.784210,23.990129,0.725104,0.601560
0,303.604614,23.587666,0.502484,0.548374
0,304.405396,23.604465,0.862776,0.505522
0,303.699097,23.586689,0.511545,0.576897
0,303.801941,23.274359,0.519242,0.528816
0,304.170532,23.810047,0.758605,0.511642
0,304.186890,23.564831,0.671690,0.527962
0,304.637573,22.592991,0.622393,0.646722
0,304.296448,23.209114,0.624446,0.539198
0,303.211334,24.032120,0.503248,0.522527
0,304.284363,23.935280,0.827959,0.550014
0,303.674713,23.948832,0.800209,0.527424
0,304.501465,22.888596,0.587003,0.561110
0,303.367065,23.382093,0.509656,0.751638
0,304.274384,23.102915,0.568271,0.645713
0,304.852386,22.978304,0.697416,0.559188
0,304.311279,23.165668,0.622169,0.534438
0,303.705139,23.714611,0.581524,0.526684
0,303.825378,23.492834,0.657912,0.632685
0,304.152618,23.760006,0.763275,0.551241
0,303.143921,24.043591,0.593019,0.519443
0,304.042358,23.164061,0.534932,0.511647
0,304.379547,23.482677,0.710072,0.521327
0,304.721008,23.340775,0.764964,0.662756
0,304.392426,23.481276,0.743800,0.603174
0,303.903900,23.357079,0.521009,0.542163
0,303.911194,23.814602,0.799923,0.509670
0,303.368103,23.680260,0.535956,0.541550
0,304.247009,23.158852,0.631817,0.598817
0,304.032532,23.445456,0.711872,0.518430
0,304.510590,23.105160,0.573671,0.706732
0,304.367462,23.117039,0.623983,0.662723
0,304.067932,23.556131,0.672821,0.676376
0,303.642639,23.354927,0.543320,0.588115
0,304.308990,23.354107,0.690414,0.516732
0,303.880981,23.262085,0.513653,0.544868
0,304.655914,23.338598,0.770821,0.566873
0,303.959991,23.454208,0.637113,0.587019
0,304.400787,23.838058,0.817469,0.534925
0,304.352997,23.762432,0.869958,0.529974
0,304.118073,23.097227,0.566913,0.633860
0,304.080292,23.246017,0.637599,0.524592
0,304.002136,23.095608,0.557852,0.533842
0,303.749542,23.011925,0.516027,0.491197
0,304.120239,22.863258,0.494613,0.696006
0,304.455597,22.814487,0.540714,0.568386
0,304.110016,23.312080,0.724417,0.596141
0,303.811951,23.120340,0.532729,0.566743
0,304.358887,22.854746,0.557178,0.563054
0,304.398468,23.513561,0.757732,0.608681
0,304.779205,23.533110,0.783785,0.562523
0,303.838440,23.305614,0.519993,0.766441
0,304.828491,23.174889,0.741941,0.664969
0,304.152161,22.849386,0.554606,0.546359
0,303.821106,23.285198,0.579344,0.511486
0,304.022461,22.885210,0.538143,0.609056
0,304.787842,23.198475,0.775081,0.548535
0,303.751495,23.313160,0.618794,0.539087
0,304.466583,23.429932,0.772270,0.608128
0,304.578217,23.214739,0.824546,0.518598
0,303.710602,23.796473,0.592910,0.559947
0,304.650116,23.057568,0.554729,0.506364
0,304.451782,23.154074,0.612772,0.680633
0,304.571167,23.351961,0.839451,0.528748
0,303.750366,23.460184,0.589072,0.533565
0,304.112732,23.413332,0.621737,0.498454
0,304.274994,22.983810,0.578647,0.621904
0,304.117645,23.520824,0.675184,0.539414
0,304.621307,23.214584,0.829123,0.520907
0,304.471222,23.221163,0.658968,0.628895
0,304.247223,23.326298,0.823129,0.521160
0,304.704803,23.708454,0.852181,0.533065
