method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cvae,0,304.128,303.52,304.767,302.75,False,23.3839,22.9114,23.8489,25.0636,False,0.64309,0.510773,0.833355,0.575763,0.506363,0.734043
cvae,1,302.654,302.024,303.34,301.55,False,24.0724,23.6219,24.5399,25.504,False,0.651337,0.508992,0.848968,0.592934,0.505841,0.785867
cvae,2,308.187,307.547,308.841,308.01,True,23.3025,22.787,23.8233,24.0739,False,0.640179,0.50759,0.838597,0.591092,0.508016,0.764064
cvae,3,299.944,299.305,300.628,299.5,True,23.1642,22.654,23.702,23.5951,True,0.629216,0.504988,0.818367,0.563795,0.505127,0.707836
cvae,4,302.466,301.826,303.127,302.4,True,25.9794,25.4773,26.4616,25.6718,True,0.63571,0.504753,0.832325,0.587135,0.506606,0.761165
cvae,5,300.756,300.107,301.461,300.3,True,22.429,21.9373,22.9208,22.5485,True,0.632348,0.505275,0.832038,0.56829,0.505815,0.714396
cvae,6,297.654,297,298.314,296.75,False,24.9573,24.4497,25.4621,26.0087,False,0.625664,0.506869,0.824327,0.583027,0.504371,0.744182
cvae,7,300.695,300.044,301.354,300,False,24.4446,23.9615,24.9052,25.4046,False,0.652334,0.511286,0.851689,0.595479,0.507229,0.791399
cvae,8,299.55,298.929,300.195,298,False,25.9284,25.4127,26.4116,27.0311,False,0.644535,0.509489,0.842961,0.57075,0.503013,0.738006
cvae,9,298.264,297.616,298.991,296.95,False,23.7937,23.2828,24.3248,24.6177,False,0.623435,0.504947,0.820698,0.561354,0.503457,0.688759
cvae,10,300.182,299.563,300.812,297.9,False,25.3862,24.8881,25.8668,25.8454,True,0.649483,0.508577,0.843124,0.538655,0.502368,0.627415
cvae,11,301.819,301.187,302.424,299.3,False,26.3933,25.8881,26.8921,26.9808,False,0.706477,0.534123,0.871813,0.551517,0.503173,0.664602
cvae,12,311.97,311.32,312.59,308.6,False,22.4696,21.9615,22.9746,22.8814,True,0.696023,0.527029,0.871004,0.544958,0.501743,0.665436
