method,obs,a_mean,a_q05,a_q95,a_true,a_in_CI,b_mean,b_q05,b_q95,b_true,b_in_CI,E1_mean,E1_q05,E1_q95,E2_mean,E2_q05,E2_q95
cddpm,0,303.96,303.32,304.636,302.75,False,23.3734,22.8641,23.8723,25.0636,False,0.629144,0.506852,0.841759,0.572414,0.500086,0.749526
cddpm,1,302.553,301.882,303.246,301.55,False,24.0718,23.5969,24.5814,25.504,False,0.645393,0.512693,0.861253,0.586945,0.501515,0.770157
cddpm,2,307.941,307.296,308.579,308.01,True,23.2799,22.8184,23.76,24.0739,False,0.620257,0.508754,0.8227,0.583465,0.50068,0.787774
cddpm,3,299.832,299.179,300.488,299.5,True,23.1553,22.6309,23.6483,23.5951,True,0.605493,0.504875,0.794735,0.562362,0.497638,0.727667
cddpm,4,302.325,301.716,302.958,302.4,True,26.0013,25.5329,26.4595,25.6718,True,0.627595,0.511077,0.831823,0.575453,0.503066,0.759002
cddpm,5,300.654,300.007,301.335,300.3,True,22.4406,21.9375,22.9623,22.5485,True,0.621917,0.507814,0.825066,0.56685,0.500824,0.725583
cddpm,6,297.602,296.954,298.288,296.75,False,25.0199,24.511,25.5046,26.0087,False,0.627936,0.504187,0.844532,0.57591,0.501811,0.748559
cddpm,7,300.624,299.993,301.32,300,True,24.4697,23.9887,24.9408,25.4046,False,0.647595,0.510004,0.858926,0.595502,0.503316,0.783909
cddpm,8,299.431,298.796,300.078,298,False,25.9548,25.4627,26.4361,27.0311,False,0.627036,0.507384,0.834611,0.56868,0.500707,0.739815
cddpm,9,298.178,297.505,298.847,296.95,False,23.8109,23.3269,24.2951,24.6177,False,0.61323,0.50354,0.818062,0.560753,0.497945,0.706202
cddpm,10,299.999,299.333,300.666,297.9,False,25.3658,24.8684,25.8758,25.8454,True,0.621429,0.505297,0.823783,0.54214,0.495927,0.645305
cddpm,11,301.581,300.929,302.17,299.3,False,26.402,25.926,26.8511,26.9808,False,0.681069,0.522584,0.884882,0.564107,0.500498,0.713363
