run_id,a,b,E1_1e11Pa,E2_1e11Pa,E1_MPa,E2_MPa
0,281.24907,25.178623,0.69335524,0.8225149,69335.524,82251.49
1,268.69378,26.478289,0.61545154,0.56150466,61545.154,56150.466
2,277.55717,27.1351,0.67313388,0.69500836,67313.388,69500.836
3,270.64735,27.032397,0.80151684,0.56950053,80151.684,56950.053
4,269.8267,29.782622,0.58996683,0.59492936,58996.683,59492.936
5,266.73316,21.215811,0.80683854,0.80073581,80683.854,80073.581
6,273.95207,26.189372,0.58702917,0.81243838,58702.917,81243.838
7,283.14389,23.777457,0.70002494,0.83241676,70002.494,83241.676
8,280.80216,20.571571,0.66759206,0.63150298,66759.206,63150.298
9,271.68263,24.581301,0.63304046,0.88023782,63304.046,88023.782
10,268.08962,20.368033,0.71881592,0.64017196,71881.592,64017.196
11,283.81402,22.475637,0.54418814,0.55435258,54418.814,55435.258
12,276.6554,24.336835,0.54177931,0.73435069,54177.931,73435.069
13,268.41086,23.49432,0.65879001,0.80564622,65879.001,80564.622
14,280.46722,25.896053,0.87936516,0.71679701,87936.516,71679.701
15,285.72812,25.025182,0.79629875,0.64598078,79629.875,64598.078
16,285.06594,23.076014,0.5399231,0.89427442,53992.31,89427.442
17,269.7727,26.689994,0.53235688,0.78330708,53235.688,78330.708
18,279.87686,25.565723,0.83639908,0.52489746,83639.908,52489.746
19,271.01077,22.091869,0.70771797,0.75878584,70771.797,75878.584
20,278.1916,28.374707,0.89182517,0.61575017,89182.517,61575.017
21,284.92302,25.305793,0.87642429,0.82195119,87642.429,82195.119
22,281.70374,24.153603,0.7229396,0.61974572,72293.96,61974.572
23,279.05549,26.3421,0.86346699,0.7963846,86346.699,79638.46
24,284.73709,29.052778,0.65575673,0.5484416,65575.673,54844.16
25,281.38298,28.764031,0.74275811,0.80731215,74275.811,80731.215
26,268.58083,20.216707,0.54703404,0.61657817,54703.404,61657.817
27,285.63171,21.95865,0.83948343,0.67546945,83948.343,67546.945
28,280.79529,25.765695,0.62146227,0.85513284,62146.227,85513.284
29,282.42909,21.737135,0.81756592,0.87310182,81756.592,87310.182
30,273.55151,28.200734,0.66313987,0.56565709,66313.987,56565.709
31,273.0256,24.141359,0.75420923,0.67942107,75420.923,67942.107
32,276.4936,29.242827,0.56580795,0.89605316,56580.795,89605.316
33,271.11646,28.618613,0.78573115,0.65209892,78573.115,65209.892
34,266.90449,29.307681,0.75359619,0.76120312,75359.619,76120.312
35,275.24351,27.880042,0.67019972,0.58897238,67019.972,58897.238
36,281.09924,21.505984,0.59240879,0.74052037,59240.879,74052.037
37,279.38917,26.968246,0.8874872,0.55883731,88748.72,55883.731
38,283.67486,23.947921,0.70804628,0.65551582,70804.628,65551.582
39,275.68908,25.499773,0.73995845,0.72765322,73995.845,72765.322
40,284.88934,27.388605,0.82875429,0.78712245,82875.429,78712.245
41,269.35189,25.115548,0.61743863,0.89077074,61743.863,89077.074
42,266.33159,24.534383,0.81377514,0.85854139,81377.514,85854.139
43,268.9772,26.53527,0.77478926,0.86904384,77478.926,86904.384
44,283.36617,27.269392,0.78263826,0.5666295,78263.826,56662.95
45,272.73737,28.982044,0.59121748,0.83512819,59121.748,83512.819
46,276.10945,23.950536,0.84116198,0.7793533,84116.198,77935.33
47,266.87468,21.260453,0.75681828,0.70213216,75681.828,70213.216
48,271.42625,24.226254,0.64120355,0.66400213,64120.355,66400.213
49,274.49368,22.608188,0.60187076,0.71842455,60187.076,71842.455
50,274.2241,22.558295,0.60693528,0.71578902,60693.528,71578.902
51,275.81228,25.691815,0.80839348,0.70929258,80839.348,70929.258
52,274.98311,26.399457,0.63875441,0.87034392,63875.441,87034.392
53,268.71533,23.827798,0.55278821,0.83778053,55278.821,83778.053
54,276.81793,23.191953,0.61226222,0.68293991,61226.222,68293.991
55,279.45994,23.599516,0.66032574,0.83095218,66032.574,83095.218
56,284.08746,24.05708,0.77736912,0.57587108,77736.912,57587.108
57,275.41964,21.822412,0.85867896,0.51011897,85867.896,51011.897
58,266.23103,24.619629,0.5759098,0.73843036,57590.98,73843.036
59,274.67774,26.704002,0.57848719,0.85117154,57848.719,85117.154
60,269.29718,26.587767,0.80419785,0.87839097,80419.785,87839.097
61,266.45007,29.271689,0.83150701,0.50535905,83150.701,50535.905
62,280.31439,29.423466,0.64976207,0.72242818,64976.207,72242.818
63,274.10139,26.107534,0.86655623,0.63619831,86655.623,63619.831
64,272.82297,22.159046,0.85640418,0.74241397,85640.418,74241.397
65,276.31318,27.745355,0.73437153,0.69684547,73437.153,69684.547
66,271.56777,25.352232,0.79304402,0.84435228,79304.402,84435.228
67,272.61218,23.661643,0.50893683,0.67026938,50893.683,67026.938
68,271.25063,28.564603,0.58051888,0.54172056,58051.888,54172.056
69,268.86943,21.12451,0.63009035,0.78864079,63009.035,78864.079
70,281.55811,22.829322,0.51896298,0.84072152,51896.298,84072.152
71,267.21998,23.874664,0.88591866,0.64811054,88591.866,64811.054
72,277.28041,27.554206,0.86130504,0.78471474,86130.504,78471.474
73,277.87154,24.362183,0.68499101,0.53852961,68499.101,53852.961
